Date,Open,High,Low,Close,Adj Close,Volume
9/23/16,29.24,31.473,28.299999,30.780001,30.780001,24000
9/26/16,30.01,30.92,29.25,30.799999,30.799999,14200
9/27/16,32.16,34.088001,31.879999,33.509998,33.509998,39900
9/28/16,32.830002,33.988998,28.200001,28.200001,28.200001,48900
9/29/16,28.219999,28.5,26.16,27.452,27.452,58400
9/30/16,27.309999,27.528999,25.5,25.93,25.93,71000
10/3/16,25.73,26.690001,25.417999,25.690001,25.690001,49400
10/4/16,25.690001,26.9,25.27,26.59,26.59,32000
10/5/16,25.379999,25.77,24.52,24.969999,24.969999,39500
10/6/16,24.57,25.809999,24.209999,25.379999,25.379999,42500
10/7/16,24.98,26.374001,24.98,25.870001,25.870001,40500
10/10/16,25.049999,25.23,24.059999,24.98,24.98,61400
10/11/16,25.15,26.48,25.115,25.969999,25.969999,39200
10/12/16,26.110001,27.16,25.75,26.040001,26.040001,74900
10/13/16,26.889999,27.445999,25.469999,26.045,26.045,40900
10/14/16,25.700001,27.179001,25.450001,27.09,27.09,66000
10/17/16,27.209999,28.438999,27.01,27.99,27.99,47800
10/18/16,27.450001,28.299999,26.719999,27.68,27.68,29800
10/19/16,27.299999,27.299999,25.5,26.5,26.5,38800
10/20/16,27.200001,27.76,26.17,26.4,26.4,61200
10/21/16,26.82,27.584,26.65,27.469999,27.469999,30600
10/24/16,27.889999,29.870001,27.469999,28.690001,28.690001,36600
10/25/16,29.440001,30.73,28.309999,30.6,30.6,42400
10/26/16,31.559999,32.509998,30.57,30.940001,30.940001,45300
10/27/16,30.59,30.83,29.280001,30.01,30.01,36000
10/28/16,29.879999,32.25,29.309999,31.860001,31.860001,40000
10/31/16,32.23,33.863998,32.189999,33.77,33.77,78300
11/1/16,33,35.93,32.52,34.139999,34.139999,81300
11/2/16,35.5,37.209,34.619999,35.290001,35.290001,64700
11/3/16,34.970001,35.560001,33.152,34.84,34.84,45300
11/4/16,34.84,36.466,33.916,35.950001,35.950001,81000
11/7/16,34.009998,34.48,33.099998,33.150002,33.150002,49400
11/8/16,34.009998,34.643002,33.094002,34.02,34.02,29900
11/9/16,35.09,35.09,30.23,30.93,30.93,17000
11/10/16,31.040001,31.860001,30,31.030001,31.030001,14900
11/11/16,31.799999,33.790001,31.799999,32.82,32.82,39900
11/14/16,32.919998,33.692001,31.23,31.309999,31.309999,44100
11/15/16,30.35,30.35,27.1,27.57,27.57,54000
11/16/16,28.09,28.84,26.979,28.6,28.6,59200
11/17/16,27.870001,29.809999,27.1,29.540001,29.540001,37500
11/18/16,29.16,29.190001,28,28.860001,28.860001,26300
11/21/16,27.030001,27.030001,25.25,25.25,25.25,60300
11/22/16,25.639999,26.75,24.862,25.43,25.43,31400
11/23/16,25.879,25.879,24.530001,24.559999,24.559999,32000
11/25/16,25.07,26,25.07,25.59,25.59,31300
11/28/16,25.549999,27.591999,24.848,27.450001,27.450001,45600
11/29/16,29.190001,30.139999,27.950001,28.58,28.58,89200
11/30/16,24.030001,24.030001,21,21.1,21.1,423000
12/1/16,19.639999,21.219999,19.43,20.879999,20.879999,121400
12/2/16,21.09,21.48,20.559999,20.91,20.91,75200
12/5/16,20.02,20.27,19.33,20.15,20.15,112700
12/6/16,20.66,21.200001,19.809999,19.99,19.99,54300
12/7/16,20.17,20.535,19.690001,20.1,20.1,68200
12/8/16,19.75,20.83,19.5,19.66,19.66,48100
12/9/16,19.26,19.781,19.190001,19.620001,19.620001,30000
12/12/16,18.219999,20.815001,17.73,20.690001,20.690001,80900
12/13/16,20.07,21.07,19.549999,19.870001,19.870001,56600
12/14/16,20.379999,21.76,19.841,21.73,21.73,76300
12/15/16,22.08,22.98,21.48,21.84,21.84,75200
12/16/16,21.639999,22.440001,21.639999,21.99,21.99,33500
12/19/16,22.040001,22.1,21.530001,21.889999,21.889999,15000
12/20/16,21.74,22.440001,21.599001,22.280001,22.280001,28900
12/21/16,21.9,21.93,21.23,21.879999,21.879999,17400
12/22/16,22.039,22.039,21.486,21.780001,21.780001,25900
12/23/16,21.780001,22,21.421,21.76,21.76,51400
12/27/16,21.620001,21.66,21.27,21.42,21.42,6700
12/28/16,21.17,22.382,21.120001,22.23,22.23,16900
12/29/16,22.273001,22.809999,22.273001,22.639999,22.639999,25500
12/30/16,22.690001,23.129999,22.15,22.969999,22.969999,21700
1/3/17,22.459999,23.75,21.5,22.58,22.58,44800
